build_id,ndcg,min_diff_pred,max_diff_pred,avg_diff_pred,stdv_diff_pred
572663312,0.9342982444210857,1,30,4.823529411764706,6.369770407523593
572664370,0.9041060614250949,0,3,0.38095238095238093,0.7400128699009549
572665755,0.9049570089162792,0,22,2.857142857142857,5.320011372958084
572669556,0.8984248510741901,0,4,1.0285714285714285,1.0706159383247373
572687246,0.9095757201661618,0,8,1.3714285714285714,1.9716477773636938
572710446,0.9052384496125538,0,9,1.7142857142857142,1.9639610121239315
572713811,0.911923009295577,0,6,1.3142857142857143,1.7110613935323815
572723377,0.9578763524127412,0,13,2.4,2.942587896633126
572732843,0.9732149869761579,0,10,0.9523809523809523,2.155833724483187
572735102,0.970187799558094,0,14,2.0,2.7759471091757453
572741130,0.9773561545254221,0,14,2.057142857142857,3.0768859079849387
572759324,0.9679551533965757,0,18,1.6,2.9823007304862506
573024295,0.9871874429392827,0,8,1.0476190476190477,1.6575943555704598
573430804,0.9763861325769213,1,11,3.9166666666666665,2.888006182497698
573612979,0.9705188460393742,0,13,1.9428571428571428,2.817412842671521
573676948,0.9813923817491073,0,10,1.7714285714285714,2.533141670473461
573677038,0.978707302190228,0,10,1.4857142857142858,2.240948178672545
573677309,0.9865867707218361,0,6,1.2571428571428571,1.6150552192864918
573732851,0.9848889954138815,0,6,1.2,1.4511658599006443
573776679,0.9851915602997864,0,11,1.0476190476190477,2.3553384146697582
573777039,0.9775759926270376,0,15,1.7142857142857142,3.0682708019804434
573777420,0.9829777558666978,0,31,2.736842105263158,4.9521178135480906
574118050,0.9793780367233486,0,23,1.945945945945946,3.7486734390384755
574118187,0.974344159200809,0,20,1.7297297297297298,3.3553328088668435
574118362,0.9761316947999062,0,17,1.6216216216216217,2.9188215977547376
574121126,0.9787126302418024,0,17,3.675675675675676,4.249536275708041
574186282,0.9778587549544354,0,8,1.7837837837837838,2.1747941810042
587270777,0.9757367508119382,0,14,2.4,2.9780808446449836
587271561,0.9687845936083526,0,13,2.8666666666666667,3.298205712132011
587277184,0.9656427458809851,1,12,3.6774193548387095,3.1346142428715056
587286221,0.9609832036976691,0,9,1.7037037037037037,2.215588388855635
608615216,0.9665799985675559,0,20,3.891891891891892,5.586609903171173
616644235,0.9526645929158946,0,12,1.2380952380952381,2.5476412994132813
617010721,0.9555268957105597,0,18,3.8947368421052633,4.590174428083054
617631185,0.9517972239983551,0,14,3.0,2.8960484758017344
617639585,0.9497690442365107,0,5,0.9523809523809523,1.1608699529314415
617680618,0.9431982683534733,0,16,3.3684210526315788,3.5823972996469533
617681746,0.9432852585474006,0,13,2.3225806451612905,3.187340550513271
617692529,0.935276280699031,0,14,2.3870967741935485,3.3929084804912213
617696903,0.9350030499649371,0,24,4.055555555555555,5.285800085103724
618058102,0.9237186939011561,0,26,3.6315789473684212,5.2475016069764555
619575286,0.9105756470033146,0,17,3.0285714285714285,4.712222619614519
620480535,0.9271497884697819,0,23,3.526315789473684,4.797166067165088
620485513,0.9244194403233827,0,22,3.736842105263158,4.963021151211067
620533797,0.9239676726813113,0,24,3.6315789473684212,5.308947331050586
620535556,0.9250163608047688,0,15,2.1379310344827585,3.9071741517645138
620590707,0.9403923936957168,0,20,3.473684210526316,4.780234315783903
620591648,0.9448413796165783,0,15,3.4210526315789473,3.866918452913039
680844288,0.9368687638271292,0,2,0.7619047619047619,0.768424485864545
683358906,0.9395662448854958,0,19,2.0952380952380953,4.229713487989014
683365076,0.9479321652481185,0,18,1.7142857142857142,4.314427623020893
683711413,0.9416327821024759,0,19,1.9047619047619047,4.70005065828829
683722377,0.9428469420163046,0,7,1.2380952380952381,1.445847914020071
